"Station.name","Sample.dateS","Ca","Cl","DOC","NH4.N","Nitrogen.part","NO3.NO2.N","NO3.N","pH","PO4.P","POC","SiO2","TOC","TOTN","TOTP","SPM","Turbiditet","As","Cd","Cr","Cu","Hg","Ni","Pb","Zn"
"Alna",2023-01-02,29.7,134,3.6,180,99.8,NA,750,7.82,52,912,7.85,3.7,1200,67,11.8,11,NA,NA,NA,NA,NA,NA,NA,NA
"Alna",2023-02-06,33,288,4.3,330,158,NA,650,7.8,79,1650,7.7,6.2,1400,120,11.8,6.2,0.63,0.044,0.48,3.08,2.58,0.86,0.584,14.6
"Alna",2023-03-06,38.3,140,2.9,370,88.4,NA,950,7.95,53,666,8.1,2.9,1500,78,5.01,3.9,NA,NA,NA,NA,NA,NA,NA,NA
"Alna",2023-04-11,27.3,111,4,220,130,NA,890,7.72,93,1350,11.7,4.1,1600,155,117,21,NA,NA,NA,NA,NA,NA,NA,NA
"Alna",2023-05-02,28.7,74.1,4.1,1,158,NA,640,7.79,41,1140,6.89,4.3,1200,48,8.47,5.3,0.28,0.037,0.46,2.82,1.96,0.94,0.506,10.2
"Alna",2023-06-05,44.5,81.2,3.4,1,110,NA,1230,7.97,53,868,5.51,3.5,2000,90,5.64,3.1,NA,NA,NA,NA,NA,NA,NA,NA
"Alna",2023-07-03,35.9,83.3,4.4,1,113,NA,1130,7.96,96,951,7.1,4.4,2100,124,8.03,8.6,NA,NA,NA,NA,NA,NA,NA,NA
"Alna",2023-08-09,21.4,32.1,6.5,1,131,NA,450,7.83,38,1230,6.35,7,1300,75,33.9,12,0.58,0.08,1.27,5.89,5.23,2.03,1.93,21.6
"Alna",2023-09-04,36.3,50.5,5.6,1,108,1300,NA,8.04,66,889,7.9,5.5,1900,93,6.95,4.5,NA,NA,NA,NA,NA,NA,NA,NA
"Alna",2023-10-02,33.9,44.7,4.8,75,68.3,1060,NA,8.04,44,527,7.23,5.1,1500,57,5.39,3.9,0.38,0.033,0.37,3.23,1.95,0.95,0.43,8.4
"Alna",2023-11-06,26.2,50.5,5.9,74,67.7,830,NA,7.76,35,636,7.21,6.1,1300,49,13.2,7.2,NA,NA,NA,NA,NA,NA,NA,NA
