Station id	Station name	Sample date	Alk_4.5	ANC	Ca	Cl	DOC	Farge	K	Konduktivitet	Mg	Na	NH4-N	Nitrogen part	NO3+NO2-N	NO3-N	pH	PO4-P	POC	Si	SiO2	SO4	STS	Temperatur	TOC	TOTN	TOTP	TOTP_P	TSM	Turbiditet	Ag	As	Cd	Cd-filt	Cr	Cu	Hg	Hg-filt	Ni	Ni-filt	Pb	Pb-filt	Zn
40352	Drammenselva	03.01.2023 14:35	0.223	232	4.46	1.89	3.2	18	0.46	3.85	0.64	1.58	< 2	25.8		250	7	1	239	1.55	3.22	2.52	1.5	0.7	3.3	390	4	3	0.83	0.81													
40352	Drammenselva	06.02.2023 14:45	0.229	220	4.51	2.36	2.9	16	0.44	4.06	0.66	1.69	15	20		270	7.03	< 1	204	1.59	3.17	2.8	1.7	0.7	2.9	410	3	2.7	0.88	0.5	< 0.002	0.11	0.004		0.11	0.53	0.872		0.39		0.062		1.8
40352	Drammenselva	07.03.2023 13:00	0.22	212	4.26	2.27	2.5	14	0.45	3.82	0.63	1.73	24	13.4		250	7.02	2	161	1.33	3	2.73	1.4		2.4	360	3.7	3.6	1.8	0.68													
40352	Drammenselva	11.04.2023 12:20	0.301	293	6.41	3.57	3.4	19	0.71	5.53	0.96	2.34	20	96.9		720	7.12	27	752	2.38	5.47	3.56	29	2.3	3.4	870	39	26	14.7	13													
40352	Drammenselva	02.05.2023 12:00	0.24	231	4.75	2.57	4.1	22	0.53	4.19	0.67	1.88	6	14.1		310	7.05	2	125	1.55	3.43	2.99	1.7	4.2	4.1	460	5.1	3.5	2.08	1.4	< 0.002	0.14	0.011		0.17	0.96	1.66		0.58		0.099		2.9
40352	Drammenselva	22.05.2023 11:30	0.202	198	3.87	1.72	3.7	22	0.43	3.24	0.54	1.37	< 2	37.1		170	6.96	4	366	1.5	3.22	2.39	5.4	7.5	3.7	370	8.9	7.6	4.33	2													
40352	Drammenselva	30.05.2023 07:10	0.205	197	3.88	1.75	3.5	21	0.45	3.46	0.57	1.39	< 2	30.5		200	6.96	3	286	1.44	3.09	2.47	4	7.1	3.6	370	5.7	4.3	2.96	1.3													
40352	Drammenselva	05.06.2023 12:00	0.216	202	3.94	1.7	3.5	21	0.46	3.57	0.6	1.35	< 2	< 13		200	7.16	2	370	1.46	3.2	2.53	2.8	10.8	3.6	360	5.9	4.7	2.26	0.86													
40352	Drammenselva	12.06.2023 11:00	0.218	202	3.93	1.92	3.8	21	0.47	3.59	0.58	1.48	< 2	27.7		170	7.05	3	345	1.4	3.26	2.51	5.6	14.7	3.8	350	6.8	4.9	3.24	1.2													
40352	Drammenselva	26.06.2023 09:00	0.207	184	3.39	1.62	3.3	18	0.43	3.12	0.55	1.31	< 2	51.4		81	7.06	1	340	1.2	2.65	2.23	1.5	18.7	3.4	310	5.2	3.7	1.4	0.87													
40352	Drammenselva	03.07.2023 11:15	0.224	215	3.9	1.74	3.3	17	0.48	3.54	0.61	1.43	< 2	55.8		46	7.19	3	288	1.3	2.77	2.49	3.3	18.1	3.5	330	6	6.5	2.72	2.3													
40352	Drammenselva	06.08.2023 12:30	0.213	204	3.84	1.42	3.6	20	0.43	3.25	0.58	1.2	< 2	59.3		140	7.16	1	210	1.24	2.68	2.34	2.5	18.2	3.6	320	4.5	3.9	1.6	0.88	< 0.002	0.13	0.004		0.1	0.6	0.98		0.41		0.064		0.93
40352	Drammenselva	11.08.2023 10:00	0.184	121	2.23	1.23		33	0.41	2.72	0.47	1.07	13			130	6.94	23		1.28	3.66	2.04			4.6	340	33			14	< 0.002	0.2	0.008		0.38	1.11			0.68		0.475		2.7
40352	Drammenselva	11.08.2023 10:10	0.177	124	2.29	1.2		32	0.4	2.7	0.47	1.05	10			130	6.95	22		1.39	3.6	1.98			4.7	340	33			14	< 0.002	0.21	0.008		0.4	1.36			0.83		0.454		3.4
40352	Drammenselva	11.08.2023 10:20	0.181	128	2.35	1.29		32	0.42	2.79	0.48	1.12	12			130	6.94	26		1.28	4.04	2.02			4.8	340	38			12	< 0.002	0.2	0.01		0.43	1.24			0.7		0.646		3.2
40352	Drammenselva	11.08.2023 10:21					4.7							57.6					632				31.5														2.66						
40352	Drammenselva	29.08.2023 07:55	0.177		3.69	1.26	6.5		0.49	3.06	0.53	1.13	< 2	63	175		7.03	27	699	2.04	4.15	2.2	20.6		6.7	380	28			10	< 0.002	0.36	0.012		0.51	1.8	5.67		1.27		0.698		4.6
40352	Drammenselva	29.08.2023 08:00	0.172		3.64	1.23	6.6	48	0.49	3.02	0.53	1.11	12	64.7	175		6.98	15	651	2.02	3.47	2.17	19.7		6.5	390	29			9.3	< 0.002	0.37	0.012		0.49	1.73	5.46		1.24		0.623		4.2
40352	Drammenselva	29.08.2023 08:05	0.176		3.82	1.31	6.7	47	0.5	3.12	0.53	1.18	< 2	71.5	175		6.99	17	797	2.02	4	2.2	19.4		6.7	420	28			9.7	< 0.002	0.35	0.014		0.5	1.78	5.08		1.21		0.631		4.5
